Cluster,avg_equity2P,avg_equity3P
0,0.630728,0.497661
1,0.298093,0.161978
2,0.964676,0.932536
3,0.438348,0.318266
4,0.832652,0.681203
5,0.520414,0.318767
6,0.359239,0.251629
7,0.71932,0.583963
8,0.896514,0.846305
9,0.605706,0.405048
10,0.47218,0.29457
11,0.565195,0.386173
12,0.408807,0.262157
13,0.823768,0.697289
14,0.524836,0.377548
15,0.696199,0.561398
16,0.576974,0.411765
17,0.320158,0.163521
18,0.210798,0.114868
19,0.240136,0.134263
20,0.84867,0.713759
21,0.676431,0.512766
22,0.735374,0.605736
23,0.343702,0.186918
24,0.271912,0.154076
25,0.618642,0.456739
26,0.557101,0.338302
27,0.926742,0.861423
28,0.555026,0.381307
29,0.310937,0.156756
30,0.448396,0.373514
31,0.298031,0.18349
32,0.918904,0.848703
33,0.880861,0.805891
34,0.2764,0.185745
35,0.779593,0.640042
36,0.725576,0.528005
37,0.317167,0.230029
38,0.433796,0.232203
39,0.588158,0.391193
40,0.36508,0.196508
41,0.566117,0.458724
42,0.484176,0.31598
43,0.486082,0.337295
44,0.393164,0.226611
45,0.853345,0.78628
46,0.656975,0.483753
47,0.486036,0.265145
48,0.498913,0.366189
49,0.286767,0.206534
50,0.317352,0.196841
51,0.588634,0.427325
52,0.642841,0.45078
53,0.561131,0.396926
54,0.406067,0.322839
55,0.661393,0.524607
56,0.426505,0.257472
57,0.871066,0.7739
58,0.237782,0.145846
59,0.806833,0.647427
60,0.753364,0.625391
61,0.507704,0.363891
62,0.377046,0.244513
63,0.294946,0.143087
64,0.594758,0.46459
65,0.372358,0.275174
66,0.602083,0.430347
67,0.391423,0.239375
68,0.546561,0.378157
69,0.502225,0.313783
70,0.444329,0.265919
71,0.456829,0.355471
72,0.813671,0.686314
73,0.412284,0.346063
74,0.770774,0.581132
75,0.955492,0.911813
76,0.705239,0.537888
77,0.267517,0.13277
78,0.553486,0.366844
79,0.628198,0.432667
80,0.895638,0.818949
81,0.745191,0.550671
82,0.383264,0.303648
83,0.825614,0.710753
84,0.564332,0.353808
85,0.445409,0.30253
86,0.688171,0.478478
87,0.987071,0.969691
88,0.822679,0.750131
89,0.503287,0.291835
90,0.685555,0.535682
91,0.404607,0.240145
92,0.249128,0.125616
93,0.328096,0.220736
94,0.609747,0.454858
95,0.418156,0.267287
96,0.32965,0.153673
97,0.617104,0.44474
98,0.343569,0.199239
99,0.471629,0.31793
100,0.542692,0.336978
101,0.659761,0.501605
102,0.489668,0.315184
103,0.506911,0.320903
104,0.231833,0.145392
105,0.708746,0.517867
106,0.517149,0.392371
107,0.410797,0.279911
108,0.400497,0.231221
109,0.577897,0.395734
110,0.447061,0.236132
111,0.726929,0.514127
112,0.68456,0.553713
