Cluster,avg_equity2P,avg_equity3P
0,0.70042,0.573701
1,0.146285,0.0424707
2,0.562767,0.318563
3,0.396855,0.23446
4,0.904035,0.853121
5,0.0225773,0.0106451
6,0.832978,0.699398
7,0.481708,0.27477
8,0.775549,0.608097
9,0.345801,0.203119
10,0.224485,0.0859064
11,0.640874,0.414665
12,0.617961,0.440271
13,0.22574,0.0640378
14,0.581995,0.398776
15,0.439275,0.235703
16,0.946763,0.876708
17,0.283228,0.114608
18,0.9322,0.849264
19,0.783384,0.671312
20,0.682147,0.488932
21,0.504884,0.344298
22,0.886975,0.787209
23,0.441669,0.247253
24,0.413043,0.232892
25,0.099894,0.0214544
26,0.516405,0.302817
27,0.55895,0.391397
28,0.846034,0.763259
29,0.761357,0.641244
30,0.183935,0.059836
31,0.543698,0.379112
32,0.961649,0.956966
33,0.825787,0.634495
34,0.278293,0.131786
35,0.0546645,0.0203249
36,0.414812,0.243033
37,0.954469,0.942768
38,0.722442,0.643048
39,0.766898,0.578489
40,0.118329,0.035939
41,0.606646,0.408406
42,0.327844,0.132878
43,0.42055,0.278182
44,0.637651,0.469001
45,0.330212,0.173513
46,0.599545,0.393905
47,0.241266,0.0893761
48,0.542227,0.329888
49,0.381533,0.204487
50,0.718416,0.599441
51,0.89965,0.828822
52,0.728402,0.529244
53,0.578046,0.445402
54,0.0111839,0.00750101
55,0.389612,0.17276
56,0.766293,0.714704
57,0.889562,0.806804
58,0.073771,0.0173206
59,0.532067,0.356387
60,0.268179,0.0883742
61,0.463141,0.270236
62,0.736673,0.567185
63,0.296769,0.152575
64,0.366957,0.260971
65,0.333119,0.160721
66,0.161094,0.0429438
67,0.445081,0.263125
68,0.852278,0.826481
69,0.155705,0.0757646
70,0.475296,0.305668
71,0.452118,0.330168
72,0.61374,0.564236
73,0.219897,0.053261
74,0.212483,0.120087
75,0.543353,0.44561
76,0.345871,0.172954
77,0.553493,0.338265
78,0.293311,0.20964
79,0.744627,0.678985
80,0.31701,0.161389
81,0.705263,0.521519
82,0.854328,0.763551
83,0.832423,0.798598
84,0.941433,0.862026
85,0.543514,0.318233
86,0.637309,0.613182
87,0.676075,0.447421
88,0.652818,0.492813
89,0.594287,0.466795
90,0.641389,0.484614
91,0.674318,0.536899
92,0.710706,0.546259
93,0.69753,0.686384
94,0.518974,0.3205
95,0.652323,0.439935
96,0.281641,0.0913143
97,0.748308,0.57602
98,0.790499,0.611696
99,0.845165,0.746326
100,0.440406,0.30795
101,0.391677,0.278551
102,0.424833,0.287621
103,0.34098,0.252465
104,0.795367,0.775465
105,0.453719,0.197559
106,0.491972,0.328541
107,0.738408,0.611872
108,0.496859,0.23843
109,0.626857,0.390867
110,0.733339,0.46947
111,0.437408,0.278563
112,0.607889,0.435601
113,0.449652,0.279442
114,0.820814,0.743946
115,0.2448,0.109888
116,0.0530221,0.013005
117,0.117361,0.0263399
118,0.351625,0.258741
119,0.576048,0.430215
120,0.452658,0.296174
121,0.89387,0.856719
122,0.406589,0.196054
123,0.919357,0.889593
124,0.617777,0.475604
125,0.347015,0.231629
126,0.81876,0.732224
127,0.309076,0.0999585
128,0.284934,0.187888
129,0.653878,0.504088
130,0.253499,0.10795
131,0.448431,0.249489
132,0.877726,0.815047
133,0.921914,0.809734
134,0.0850913,0.0202394
135,0.409727,0.224451
136,0.68308,0.671265
137,0.623243,0.326201
138,0.364935,0.245062
139,0.178462,0.042813
140,0.418325,0.184556
141,0.629992,0.461613
142,0.537966,0.292899
143,0.671317,0.557902
144,0.565552,0.361096
145,0.535025,0.284157
146,0.80107,0.65271
147,0.267366,0.184568
148,0.798616,0.695758
149,0.61005,0.391848
150,0.475798,0.359751
151,0.378973,0.176335
