Cluster,avg_equity2P,avg_equity3P
0,0.891265,0.809619
1,0.264296,0.129177
2,0.639136,0.491855
3,0.515345,0.353437
4,0.22585,0.0873128
5,0.745144,0.584238
6,0.37104,0.185431
7,0.563727,0.391292
8,0.616683,0.435345
9,0.706444,0.516658
10,0.8113,0.758797
11,0.452365,0.272239
12,0.499721,0.313062
13,0.476973,0.283423
14,0.31359,0.12943
15,0.191308,0.0949722
16,0.536482,0.378853
17,0.129121,0.0509355
18,0.946225,0.913169
19,0.591258,0.416223
20,0.796987,0.652707
21,0.678903,0.53865
22,0.79484,0.697269
23,0.922736,0.840864
24,0.155538,0.0615106
25,0.876102,0.769182
26,0.924858,0.896691
27,0.178025,0.0830728
28,0.558936,0.322411
29,0.241615,0.0928155
30,0.414727,0.20917
31,0.231333,0.185339
32,0.806355,0.727388
33,0.555836,0.435871
34,0.587363,0.445684
35,0.512422,0.310677
36,0.994591,0.989922
37,0.340965,0.178685
38,0.452665,0.23304
39,0.765194,0.619603
40,0.428985,0.23901
41,0.48629,0.367955
42,0.6976,0.484884
43,0.254794,0.114725
44,0.300172,0.121226
45,0.511656,0.279987
46,0.538519,0.341047
47,0.281878,0.143321
48,0.366926,0.154475
49,0.660473,0.484487
50,0.693558,0.501786
51,0.600661,0.415928
52,0.326072,0.156632
53,0.373435,0.209519
54,0.93522,0.864495
55,0.636493,0.451879
56,0.715713,0.551605
57,0.322335,0.202229
58,0.27893,0.185502
59,0.41845,0.282304
60,0.353754,0.220289
61,0.965613,0.951356
62,0.41266,0.266149
63,0.456961,0.294235
64,0.550011,0.399585
65,0.312502,0.260072
66,0.731845,0.557089
67,0.19196,0.133195
68,0.785633,0.68432
69,0.570474,0.379823
70,0.183357,0.10929
71,0.31547,0.155998
72,0.433142,0.278747
73,0.400441,0.216588
74,0.416,0.240793
75,0.79433,0.624287
76,0.523868,0.295749
77,0.907869,0.827895
78,0.711263,0.541288
79,0.358241,0.18907
80,0.79004,0.650531
81,0.504833,0.333078
82,0.282991,0.114386
83,0.815171,0.726071
84,0.855632,0.755167
85,0.56397,0.409418
86,0.874631,0.810399
87,0.846172,0.757088
88,0.758784,0.59271
89,0.694271,0.568901
90,0.590398,0.381409
91,0.567081,0.325693
92,0.771481,0.676672
93,0.257597,0.199513
94,0.313391,0.204436
95,0.469494,0.317811
96,0.702594,0.529728
97,0.144587,0.0623987
98,0.380482,0.267111
99,0.391111,0.191511
100,0.819574,0.664521
101,0.615793,0.455327
102,0.734083,0.576547
103,0.337357,0.155401
104,0.485576,0.327772
105,0.453674,0.323209
106,0.440948,0.267078
107,0.747716,0.653029
108,0.428262,0.259531
109,0.0846504,0.0390852
110,0.546136,0.360585
111,0.36532,0.19763
112,0.311553,0.194097
113,0.164871,0.0980957
114,0.616722,0.390659
115,0.593125,0.457645
116,0.694661,0.553412
117,0.713639,0.600046
118,0.383113,0.2391
119,0.56321,0.382372
120,0.62021,0.499052
121,0.378333,0.296479
122,0.267863,0.167505
123,0.480014,0.296602
124,0.380425,0.220182
125,0.696608,0.528288
126,0.947094,0.894672
127,0.624388,0.415785
128,0.580115,0.40779
129,0.774808,0.628715
130,0.126044,0.0874627
131,0.622212,0.484348
132,0.801408,0.713836
133,0.935095,0.892969
134,0.793212,0.713552
135,0.304318,0.192312
136,0.57316,0.383972
137,0.522402,0.373675
138,0.740902,0.541096
139,0.216906,0.142044
140,0.72684,0.600013
141,0.658508,0.474309
142,0.22606,0.108465
143,0.282658,0.21672
144,0.678843,0.493499
145,0.52158,0.344851
146,0.542111,0.39164
147,0.830989,0.730756
148,0.491615,0.294318
149,0.562201,0.441506
150,0.428424,0.269353
151,0.49185,0.258785
152,0.698399,0.505099
153,0.739736,0.584499
154,0.55054,0.337323
155,0.497915,0.323875
156,0.651795,0.496464
157,0.515809,0.332174
158,0.72843,0.52338
159,0.855688,0.727656
160,0.321076,0.179905
161,0.579698,0.381016
162,0.471454,0.3077
163,0.758197,0.606348
164,0.737814,0.528882
165,0.330408,0.186165
166,0.593284,0.447211
167,0.646571,0.460336
168,0.378411,0.184681
