Cluster,avg_equity2P,avg_equity3P
0,0.309589,0.150674
1,0.622657,0.457932
2,0.532088,0.316055
3,0.889372,0.809258
4,0.254356,0.139138
5,0.509942,0.421974
6,0.400963,0.242984
7,0.804742,0.661202
8,0.469225,0.378831
9,0.323513,0.219798
10,0.311859,0.191789
11,0.510798,0.283968
12,0.698847,0.511022
13,0.999657,0.999504
14,0.364244,0.197325
15,0.578521,0.387655
16,0.702195,0.580207
17,0.292114,0.183774
18,0.82433,0.763411
19,0.520512,0.375941
20,0.446203,0.283247
21,0.541425,0.442671
22,0.662934,0.457953
23,0.947121,0.917177
24,0.205685,0.123617
25,0.220768,0.132014
26,0.248949,0.166674
27,0.539723,0.358777
28,0.57256,0.431819
29,0.785525,0.630796
30,0.581224,0.455898
31,0.554671,0.392114
32,0.674076,0.515637
33,0.478259,0.33201
34,0.357967,0.213732
35,0.727741,0.623512
36,0.476516,0.302335
37,0.269125,0.15566
38,0.340618,0.261633
39,0.327054,0.177099
40,0.525824,0.354618
41,0.745996,0.571494
42,0.748154,0.665949
43,0.577243,0.36223
44,0.606171,0.483657
45,0.929755,0.840235
46,0.537503,0.391152
47,0.432594,0.234113
48,0.609448,0.406543
49,0.416682,0.336824
50,0.280201,0.171714
51,0.624452,0.434838
52,0.595625,0.538583
53,0.747155,0.581408
54,0.666422,0.513481
55,0.482027,0.275687
56,0.470204,0.251777
57,0.698529,0.529043
58,0.605403,0.434409
59,0.442648,0.259927
60,0.349197,0.194376
61,0.653299,0.481857
62,0.59161,0.398941
63,0.9641,0.938912
64,0.688751,0.543343
65,0.566345,0.386626
66,0.376745,0.206955
67,0.48333,0.309269
68,0.63535,0.490985
69,0.415649,0.23459
70,0.30561,0.166201
71,0.412786,0.2928
72,0.618553,0.443297
73,0.346821,0.219882
74,0.515026,0.3219
75,0.467038,0.317357
76,0.837553,0.70686
77,0.819264,0.683187
78,0.284049,0.164484
79,0.640567,0.519313
80,0.403853,0.216426
81,0.844066,0.785128
82,0.837416,0.755691
83,0.535977,0.334347
84,0.367476,0.273612
85,0.37603,0.251965
86,0.735868,0.568605
87,0.363994,0.216
88,0.865979,0.793267
89,0.754616,0.611317
90,0.670367,0.532078
91,0.603165,0.427368
92,0.974032,0.940892
93,0.390394,0.211893
94,0.605938,0.45812
95,0.56113,0.411705
96,0.584369,0.42652
97,0.451988,0.34809
98,0.624894,0.450324
99,0.879511,0.837638
100,0.624238,0.465248
101,0.233073,0.143764
102,0.704098,0.546574
103,0.865712,0.815217
104,0.321108,0.253911
105,0.446622,0.274825
106,0.735026,0.60858
107,0.652889,0.503846
108,0.602656,0.382193
109,0.619315,0.49615
110,0.298409,0.162727
111,0.276704,0.159582
112,0.674784,0.463807
113,0.727579,0.589506
114,0.789333,0.620836
115,0.690295,0.604227
116,0.923731,0.827461
117,0.765276,0.618284
118,0.605,0.512262
119,0.677518,0.507073
120,0.491516,0.313654
121,0.3313,0.200276
122,0.409892,0.259164
123,0.645758,0.419849
124,0.61817,0.452172
125,0.533907,0.374439
126,0.60218,0.40562
127,0.393416,0.247402
128,0.210441,0.101216
129,0.494766,0.297409
130,0.856468,0.793086
131,0.54811,0.421331
132,0.348201,0.213341
133,0.503045,0.356584
134,0.476994,0.353023
135,0.765318,0.564106
136,0.318083,0.192126
137,0.340872,0.167747
138,0.72157,0.543953
139,0.829289,0.738272
140,0.924631,0.880262
141,0.458473,0.250829
142,0.657108,0.496922
143,0.238686,0.136302
144,0.824217,0.708437
145,0.559398,0.357955
146,0.553609,0.33667
147,0.321053,0.186501
148,0.730317,0.562
149,0.75662,0.584327
150,0.284,0.205257
151,0.292152,0.152876
152,0.573974,0.405833
153,0.597729,0.431457
154,0.3795,0.332484
155,0.687741,0.452556
156,0.331209,0.213772
157,0.494098,0.417138
158,0.316949,0.228568
159,0.455577,0.361995
160,0.235907,0.165743
161,0.538907,0.4239
162,0.549212,0.473551
163,0.808784,0.630622
164,0.49426,0.268711
165,0.385965,0.226496
166,0.796772,0.668278
167,0.657979,0.556319
168,0.908128,0.82287
169,0.646453,0.449818
170,0.689083,0.524886
171,0.765306,0.590708
172,0.440817,0.292211
173,0.246992,0.116379
174,0.514082,0.366525
175,0.42322,0.215599
176,0.406904,0.323129
177,0.572966,0.376021
178,0.664316,0.467726
179,0.593106,0.415275
180,0.463846,0.233769
181,0.546142,0.412035
182,0.560546,0.34366
183,0.344723,0.176861
184,0.578483,0.466134
185,0.3001,0.18385
186,0.702052,0.558211
187,0.597835,0.452974
188,0.520101,0.401757
189,0.482923,0.3985
190,0.57898,0.447979
191,0.585782,0.401538
192,0.398414,0.207897
193,0.642498,0.469734
194,0.396868,0.235495
195,0.764857,0.646767
196,0.171161,0.118914
197,0.821167,0.648889
198,0.247656,0.210875
