Cluster,avg_equity2P,avg_equity3P
0,0.426192,0.33121
1,0.948665,0.915207
2,0.191324,0.0658123
3,0.781939,0.623845
4,0.0165955,0.00914587
5,0.434281,0.222319
6,0.618641,0.463371
7,0.372412,0.17246
8,0.890286,0.812774
9,0.446382,0.279443
10,0.56005,0.418474
11,0.567813,0.270713
12,0.262788,0.0765267
13,0.802232,0.74516
14,0.143187,0.0558589
15,0.0794301,0.020305
16,0.290079,0.175604
17,0.404072,0.262967
18,0.846689,0.748638
19,0.554889,0.32107
20,0.484941,0.340259
21,0.670338,0.597075
22,0.651315,0.442338
23,0.793917,0.639978
24,0.726487,0.685206
25,0.322248,0.166662
26,0.559787,0.382199
27,0.127967,0.032241
28,0.364711,0.1247
29,0.720334,0.53757
30,0.650646,0.563018
31,0.612397,0.349007
32,0.53204,0.28474
33,0.362939,0.228141
34,0.821588,0.769153
35,0.504029,0.380168
36,0.50003,0.269735
37,0.612194,0.428037
38,0.518607,0.304156
39,0.294543,0.137717
40,0.444203,0.314256
41,0.485631,0.300601
42,0.723037,0.640762
43,0.780806,0.601605
44,0.402194,0.168822
45,0.709614,0.564824
46,0.812339,0.700857
47,0.486175,0.3619
48,0.176605,0.0385895
49,0.731643,0.565942
50,0.543359,0.340909
51,0.314865,0.190489
52,0.441528,0.34792
53,0.344029,0.201254
54,0.678108,0.505114
55,0.857875,0.783159
56,0.829232,0.687204
57,0.353983,0.180842
58,0.443747,0.250216
59,0.472401,0.283454
60,0.457709,0.202492
61,0.234021,0.0656065
62,0.194906,0.119365
63,0.354774,0.199385
64,0.648196,0.517381
65,0.939824,0.887802
66,0.776095,0.678912
67,0.593144,0.412778
68,0.721983,0.497488
69,0.263513,0.148099
70,0.882014,0.868787
71,0.932088,0.912994
72,0.688291,0.450681
73,0.395001,0.202391
74,0.682266,0.480447
75,0.684813,0.536435
76,0.384094,0.235725
77,0.769821,0.619414
78,0.668015,0.677029
79,0.637192,0.399922
80,0.321084,0.120132
81,0.906021,0.830422
82,0.530992,0.267749
83,0.20446,0.0872903
84,0.456133,0.260952
85,0.680788,0.612069
86,0.258486,0.105236
87,0.591598,0.378605
88,0.127641,0.0414462
89,0.872981,0.840521
90,0.380195,0.218264
91,0.875761,0.828642
92,0.0610739,0.0329425
93,0.346249,0.0888172
94,0.43569,0.182452
95,0.414737,0.183912
96,0.48047,0.241002
97,0.932754,0.871557
98,0.670016,0.48325
99,0.730936,0.600177
100,0.637357,0.425304
101,0.542668,0.294787
102,0.758836,0.647561
103,0.0694127,0.0123653
104,0.920127,0.90095
105,0.74611,0.549599
106,0.737111,0.500192
107,0.871501,0.796993
108,0.465382,0.324524
109,0.271194,0.0843569
110,0.674613,0.527379
111,0.615346,0.450795
112,0.680187,0.582931
113,0.523479,0.251371
114,0.760493,0.594259
115,0.315889,0.157637
116,0.947448,0.952151
117,0.178806,0.10141
118,0.255607,0.115115
119,0.641359,0.465984
120,0.318069,0.139786
121,0.696304,0.585479
122,0.901364,0.814602
123,0.243495,0.0933846
124,0.571005,0.352246
125,0.832301,0.792579
126,0.452568,0.229597
127,0.497982,0.259428
128,0.225686,0.057568
129,0.551912,0.357738
130,0.327022,0.174653
131,0.703093,0.513525
132,0.825202,0.659629
133,0.373482,0.193345
134,0.508701,0.333696
135,0.649451,0.641055
136,0.0992661,0.0230567
137,0.50889,0.230853
138,0.401867,0.240859
139,0.616821,0.310449
140,0.426852,0.251723
141,0.470259,0.369795
142,0.252015,0.0770738
143,0.92457,0.889023
144,0.169608,0.0271393
145,0.904435,0.854807
146,0.364886,0.152175
147,0.213217,0.0826978
148,0.349065,0.224869
149,0.274797,0.143108
150,0.135015,0.0358086
151,0.757607,0.55922
152,0.74763,0.713465
153,0.846035,0.786748
154,0.530847,0.356047
155,0.661806,0.530262
156,0.378207,0.151892
157,0.161709,0.0607948
158,0.706461,0.597748
159,0.608131,0.373706
160,0.723263,0.625102
161,0.512188,0.351349
162,0.303054,0.20193
163,0.74861,0.51154
164,0.894512,0.770768
165,0.880467,0.807409
166,0.771693,0.544385
167,0.587423,0.493439
168,0.748022,0.613184
169,0.565786,0.392699
170,0.526291,0.481426
171,0.426425,0.284879
172,0.110092,0.0484573
173,0.431023,0.240394
174,0.341327,0.106441
175,0.45671,0.216851
176,0.318332,0.241306
177,0.56423,0.433043
178,0.26862,0.13398
179,0.226224,0.108485
180,0.227934,0.153059
181,0.488568,0.269686
182,0.354217,0.269939
183,0.624752,0.420131
184,0.958562,0.935094
185,0.285769,0.148751
186,0.70369,0.545294
187,0.686627,0.525276
188,0.501218,0.413946
189,0.967487,0.961394
190,0.80776,0.674058
191,0.641333,0.504628
192,0.535005,0.378871
193,0.117136,0.0410424
194,0.93868,0.846068
195,0.813287,0.753313
196,0.428996,0.201746
197,0.340269,0.132176
198,0.513373,0.264787
199,0.761298,0.582478
200,0.6096,0.583223
201,0.766317,0.704902
202,0.651068,0.354086
203,0.586457,0.368298
204,0.469359,0.243038
205,0.321085,0.148366
206,0.324688,0.108216
207,0.200739,0.0651643
208,0.235085,0.12125
209,0.342741,0.169244
210,0.699534,0.501768
211,0.548813,0.381988
212,0.613421,0.405673
213,0.430409,0.314279
214,0.31278,0.167879
215,0.830008,0.714188
216,0.310196,0.125756
217,0.470767,0.294473
218,0.282896,0.110362
219,0.781205,0.646983
220,0.771232,0.593581
221,0.678778,0.428319
222,0.327439,0.0949331
223,0.115529,0.0254512
224,0.40988,0.214025
225,0.874975,0.786155
226,0.60656,0.461605
227,0.395463,0.224209
228,0.886418,0.827908
229,0.489393,0.329492
230,0.384838,0.207064
231,0.625566,0.392791
232,0.653452,0.465003
233,0.522668,0.32092
234,0.55491,0.392618
235,0.360231,0.18851
236,0.70639,0.525711
237,0.373018,0.138809
238,0.914533,0.838084
239,0.160464,0.0510649
240,0.466763,0.256442
241,0.69664,0.523218
242,0.420125,0.234866
243,0.641287,0.545883
244,0.0459684,0.0253068
245,0.544553,0.413712
246,0.273971,0.112385
247,0.66266,0.47169
248,0.603906,0.550873
249,0.303209,0.117391
250,0.895269,0.863032
251,0.59191,0.334016
252,0.326126,0.194554
253,0.604933,0.487375
254,0.715101,0.555222
255,0.180417,0.0718745
256,0.300188,0.0952658
257,0.156469,0.0322084
258,0.422128,0.273691
259,0.695446,0.643062
260,0.233261,0.0896346
261,0.341193,0.146983
262,0.93597,0.932852
263,0.747742,0.681991
264,0.861407,0.80143
265,0.0435371,0.0165011
266,0.253007,0.0972365
267,0.770831,0.630495
268,0.38253,0.187367
269,0.390486,0.214859
270,0.333754,0.202189
271,0.506333,0.248789
272,0.50041,0.442149
273,0.729487,0.577077
274,0.575904,0.395196
275,0.551692,0.346406
276,0.574799,0.426926
277,0.278436,0.120287
278,0.192093,0.0752619
279,0.300661,0.130042
280,0.476529,0.253334
281,0.304174,0.172859
282,0.635783,0.457863
283,0.47649,0.330183
284,0.49676,0.337324
285,0.6734,0.458303
286,0.727791,0.657278
287,0.453309,0.323458
288,0.194125,0.0465515
289,0.02502,0.0167081
290,0.270986,0.0562135
291,0.623488,0.543211
292,0.213316,0.0604575
293,0.435156,0.264834
294,0.376225,0.279249
295,0.932616,0.827924
296,0.154549,0.0854335
297,0.336166,0.15735
298,0.919159,0.875592
299,0.614857,0.396179
300,0.345836,0.15885
301,0.765893,0.511246
302,0.824002,0.635804
303,0.925026,0.840858
304,0.105734,0.0383902
305,0.533751,0.346012
306,0.735672,0.543762
307,0.495763,0.350842
308,0.6188,0.489139
309,0.403794,0.193269
310,0.860306,0.766813
311,0.84705,0.767043
