Cluster,avg_equity2P,avg_equity3P
0,0.502144,0.296892
1,0.193105,0.115325
2,0.770751,0.633687
3,0.346281,0.239211
4,0.58943,0.419938
5,0.535328,0.356807
6,0.216441,0.0785649
7,0.923081,0.858761
8,0.570387,0.429642
9,0.684472,0.539792
10,0.421989,0.280682
11,0.861412,0.779025
12,0.684211,0.557761
13,0.35414,0.147763
14,0.125582,0.057529
15,0.360301,0.206974
16,0.443646,0.276962
17,0.621517,0.443598
18,0.225244,0.176987
19,0.788931,0.726057
20,0.507876,0.361047
21,0.624395,0.485717
22,0.775741,0.691105
23,0.269192,0.110902
24,0.499579,0.319119
25,0.473973,0.35213
26,0.973335,0.958257
27,0.677329,0.47804
28,0.830942,0.755117
29,0.883867,0.830121
30,0.540799,0.342731
31,0.316503,0.190234
32,0.583481,0.388956
33,0.170465,0.0716583
34,0.557906,0.368278
35,0.730885,0.602715
36,0.423419,0.253133
37,0.287261,0.146395
38,0.320278,0.144435
39,0.462484,0.26427
40,0.669897,0.504387
41,0.729064,0.532356
42,0.481184,0.283325
43,0.560865,0.415391
44,0.174719,0.104434
45,0.14462,0.0525277
46,0.265333,0.21505
47,0.715645,0.644304
48,0.651179,0.468953
49,0.668964,0.525145
50,0.438528,0.246839
51,0.227968,0.14193
52,0.214153,0.116076
53,0.711012,0.505151
54,0.907233,0.799356
55,0.677747,0.497312
56,0.881034,0.783825
57,0.519944,0.322459
58,0.94878,0.909729
59,0.739045,0.575132
60,0.260305,0.174069
61,0.833409,0.706006
62,0.88822,0.805812
63,0.250073,0.177196
64,0.363785,0.1719
65,0.535802,0.396323
66,0.293682,0.208598
67,0.568099,0.321353
68,0.801069,0.617448
69,0.61883,0.416923
70,0.523254,0.354896
71,0.451314,0.281287
72,0.560551,0.353346
73,0.636794,0.467248
74,0.473911,0.298074
75,0.96344,0.924052
76,0.907481,0.838416
77,0.435974,0.33115
78,0.596017,0.398414
79,0.414388,0.231519
80,0.562114,0.400811
81,0.580843,0.36074
82,0.383173,0.259542
83,0.851156,0.803861
84,0.609072,0.432446
85,0.29201,0.16274
86,0.333483,0.19158
87,0.23084,0.167207
88,0.573797,0.374263
