Hand,Equity2P,Equity3P
RiverID,ERROR,ERROR
2c 2d 2h 2s 3s 4s 5s,0.836500,0.843667
2c 2d 2h 2s 3s 4s 6s,0.860000,0.871667
2c 2d 2h 2s 3s 4s 7s,0.867500,0.850333
2c 2d 2h 2s 3s 4s 8s,0.865500,0.856000
2c 2d 2h 2s 3s 4s 9s,0.888000,0.870333
2c 2d 2h 2s 3s 4s 10s,0.890500,0.875333
2c 2d 2h 2s 3s 4s Js,0.922000,0.903667
2c 2d 2h 2s 3s 4s Qs,0.935000,0.913667
2c 2d 2h 2s 3s 4s Ks,0.953000,0.923333
2c 2d 2h 2s 3s 4s As,0.963000,0.954000
2c 2d 2h 2s 3s 5s 6s,0.876000,0.857000
2c 2d 2h 2s 3s 5s 7s,0.857500,0.879000
2c 2d 2h 2s 3s 5s 8s,0.874000,0.853333
2c 2d 2h 2s 3s 5s 9s,0.881500,0.890667
2c 2d 2h 2s 3s 5s 10s,0.918500,0.895333
2c 2d 2h 2s 3s 5s Js,0.934000,0.894667
2c 2d 2h 2s 3s 5s Qs,0.931500,0.916667
2c 2d 2h 2s 3s 5s Ks,0.948000,0.922333
2c 2d 2h 2s 3s 5s As,0.962500,0.956667
2c 2d 2h 2s 3s 6s 7s,0.871500,0.864000
2c 2d 2h 2s 3s 6s 8s,0.900500,0.865000
2c 2d 2h 2s 3s 6s 9s,0.893000,0.872667
2c 2d 2h 2s 3s 6s 10s,0.923000,0.895667
2c 2d 2h 2s 3s 6s Js,0.920500,0.888000
2c 2d 2h 2s 3s 6s Qs,0.934500,0.923333
2c 2d 2h 2s 3s 6s Ks,0.949000,0.944000
2c 2d 2h 2s 3s 6s As,0.961000,0.970667
2c 2d 2h 2s 3s 7s 8s,0.890500,0.880000
2c 2d 2h 2s 3s 7s 9s,0.882500,0.869667
2c 2d 2h 2s 3s 7s 10s,0.886500,0.877667
2c 2d 2h 2s 3s 7s Js,0.928500,0.901333
2c 2d 2h 2s 3s 7s Qs,0.929000,0.913000
2c 2d 2h 2s 3s 7s Ks,0.946000,0.944000
2c 2d 2h 2s 3s 7s As,0.966500,0.973667
2c 2d 2h 2s 3s 8s 9s,0.865000,0.873667
2c 2d 2h 2s 3s 8s 10s,0.888500,0.885000
2c 2d 2h 2s 3s 8s Js,0.915000,0.891000
2c 2d 2h 2s 3s 8s Qs,0.940500,0.919333
2c 2d 2h 2s 3s 8s Ks,0.937000,0.941667
2c 2d 2h 2s 3s 8s As,0.970000,0.967333
2c 2d 2h 2s 3s 9s 10s,0.902000,0.868333
2c 2d 2h 2s 3s 9s Js,0.925500,0.895000
2c 2d 2h 2s 3s 9s Qs,0.934000,0.916000
2c 2d 2h 2s 3s 9s Ks,0.944000,0.941667
2c 2d 2h 2s 3s 9s As,0.965000,0.968667
