Hand,Equity2P,Equity3P
2c 2d 2h 2s 3s 4s 6s,0.895000,0.871667
2c 2d 2h 2s 3s 4s 7s,0.840000,0.833333
2c 2d 2h 2s 3s 4s 8s,0.875000,0.890000
2c 2d 2h 2s 3s 4s 9s,0.860000,0.861667
2c 2d 2h 2s 3s 4s 10s,0.920000,0.918333
2c 2d 2h 2s 3s 4s Js,0.927500,0.891667
2c 2d 2h 2s 3s 4s Qs,0.932500,0.941667
2c 2d 2h 2s 3s 4s Ks,0.952500,0.905000
2c 2d 2h 2s 3s 4s As,0.952500,0.943333
2c 2d 2h 2s 3s 5s 6s,0.872500,0.830000
2c 2d 2h 2s 3s 5s 7s,0.852500,0.881667
2c 2d 2h 2s 3s 5s 8s,0.860000,0.886667
2c 2d 2h 2s 3s 5s 9s,0.892500,0.850000
2c 2d 2h 2s 3s 5s 10s,0.877500,0.908333
2c 2d 2h 2s 3s 5s Js,0.892500,0.906667
2c 2d 2h 2s 3s 5s Qs,0.955000,0.908333
2c 2d 2h 2s 3s 5s Ks,0.947500,0.953333
2c 2d 2h 2s 3s 5s As,0.962500,0.943333
2c 2d 2h 2s 3s 6s 7s,0.887500,0.880000
2c 2d 2h 2s 3s 6s 8s,0.880000,0.861667
2c 2d 2h 2s 3s 6s 9s,0.892500,0.871667
2c 2d 2h 2s 3s 6s 10s,0.915000,0.863333
2c 2d 2h 2s 3s 6s Js,0.892500,0.865000
2c 2d 2h 2s 3s 6s Qs,0.947500,0.945000
2c 2d 2h 2s 3s 6s Ks,0.945000,0.938333
2c 2d 2h 2s 3s 6s As,0.955000,0.955000
2c 2d 2h 2s 3s 7s 8s,0.882500,0.855000
2c 2d 2h 2s 3s 7s 9s,0.905000,0.833333
2c 2d 2h 2s 3s 7s 10s,0.910000,0.868333
2c 2d 2h 2s 3s 7s Js,0.902500,0.916667
2c 2d 2h 2s 3s 7s Qs,0.917500,0.925000
2c 2d 2h 2s 3s 7s Ks,0.960000,0.923333
2c 2d 2h 2s 3s 7s As,0.967500,0.976667
2c 2d 2h 2s 3s 8s 9s,0.900000,0.863333
2c 2d 2h 2s 3s 8s 10s,0.887500,0.840000
2c 2d 2h 2s 3s 8s Js,0.900000,0.911667
2c 2d 2h 2s 3s 8s Qs,0.917500,0.911667
2c 2d 2h 2s 3s 8s Ks,0.950000,0.918333
2c 2d 2h 2s 3s 8s As,0.970000,0.971667
2c 2d 2h 2s 3s 9s 10s,0.887500,0.931667
2c 2d 2h 2s 3s 9s Js,0.942500,0.915000
2c 2d 2h 2s 3s 9s Qs,0.945000,0.895000
2c 2d 2h 2s 3s 9s Ks,0.935000,0.958333
2c 2d 2h 2s 3s 9s As,0.967500,0.971667
2c 2d 2h 2s 3s 10s Js,0.877500,0.901667
2c 2d 2h 2s 3s 10s Qs,0.950000,0.916667
2c 2d 2h 2s 3s 10s Ks,0.952500,0.925000
2c 2d 2h 2s 3s 10s As,0.965000,0.955000
2c 2d 2h 2s 3s Js Qs,0.907500,0.901667
2c 2d 2h 2s 3s Js Ks,0.962500,0.940000
2c 2d 2h 2s 3s Js As,0.980000,0.976667
2c 2d 2h 2s 3s Qs Ks,0.960000,0.928333
2c 2d 2h 2s 3s Qs As,0.977500,0.956667
2c 2d 2h 2s 3s Ks As,0.965000,0.976667
2c 2d 2h 2s 4s 5s 6s,0.840000,0.845000
2c 2d 2h 2s 4s 5s 7s,0.862500,0.848333
2c 2d 2h 2s 4s 5s 8s,0.880000,0.851667
2c 2d 2h 2s 4s 5s 9s,0.880000,0.870000
2c 2d 2h 2s 4s 5s 10s,0.925000,0.900000
2c 2d 2h 2s 4s 5s Js,0.952500,0.888333
2c 2d 2h 2s 4s 5s Qs,0.912500,0.923333
2c 2d 2h 2s 4s 5s Ks,0.925000,0.896667
2c 2d 2h 2s 4s 5s As,0.942500,0.953333
2c 2d 2h 2s 4s 6s 7s,0.870000,0.848333
2c 2d 2h 2s 4s 6s 8s,0.877500,0.895000
2c 2d 2h 2s 4s 6s 9s,0.920000,0.848333
2c 2d 2h 2s 4s 6s 10s,0.897500,0.895000
2c 2d 2h 2s 4s 6s Js,0.925000,0.868333
2c 2d 2h 2s 4s 6s Qs,0.947500,0.926667
2c 2d 2h 2s 4s 6s Ks,0.912500,0.943333
2c 2d 2h 2s 4s 6s As,0.960000,0.975000
2c 2d 2h 2s 4s 7s 8s,0.857500,0.871667
2c 2d 2h 2s 4s 7s 9s,0.910000,0.868333
2c 2d 2h 2s 4s 7s 10s,0.935000,0.886667
2c 2d 2h 2s 4s 7s Js,0.950000,0.886667
2c 2d 2h 2s 4s 7s Qs,0.935000,0.920000
2c 2d 2h 2s 4s 7s Ks,0.942500,0.948333
2c 2d 2h 2s 4s 7s As,0.975000,0.970000
2c 2d 2h 2s 4s 8s 9s,0.885000,0.910000
2c 2d 2h 2s 4s 8s 10s,0.897500,0.915000
2c 2d 2h 2s 4s 8s Js,0.890000,0.923333
2c 2d 2h 2s 4s 8s Qs,0.917500,0.898333
2c 2d 2h 2s 4s 8s Ks,0.955000,0.965000
2c 2d 2h 2s 4s 8s As,0.957500,0.975000
2c 2d 2h 2s 4s 9s 10s,0.900000,0.910000
2c 2d 2h 2s 4s 9s Js,0.900000,0.873333
2c 2d 2h 2s 4s 9s Qs,0.937500,0.920000
2c 2d 2h 2s 4s 9s Ks,0.957500,0.946667
2c 2d 2h 2s 4s 9s As,0.975000,0.961667
2c 2d 2h 2s 4s 10s Js,0.882500,0.908333
2c 2d 2h 2s 4s 10s Qs,0.942500,0.905000
2c 2d 2h 2s 4s 10s Ks,0.935000,0.943333
2c 2d 2h 2s 4s 10s As,0.945000,0.965000
2c 2d 2h 2s 4s Js Qs,0.932500,0.921667
2c 2d 2h 2s 4s Js Ks,0.950000,0.941667
2c 2d 2h 2s 4s Js As,0.947500,0.966667
2c 2d 2h 2s 4s Qs Ks,0.945000,0.933333
2c 2d 2h 2s 4s Qs As,0.970000,0.961667
2c 2d 2h 2s 4s Ks As,0.975000,0.971667
2c 2d 2h 2s 5s 6s 7s,0.855000,0.883333
2c 2d 2h 2s 5s 6s 8s,0.895000,0.828333
2c 2d 2h 2s 5s 6s 9s,0.882500,0.891667
2c 2d 2h 2s 5s 6s 10s,0.897500,0.875000
2c 2d 2h 2s 5s 6s Js,0.935000,0.853333
2c 2d 2h 2s 5s 6s Qs,0.932500,0.920000
2c 2d 2h 2s 5s 6s Ks,0.952500,0.951667
2c 2d 2h 2s 5s 6s As,0.967500,0.955000
2c 2d 2h 2s 5s 7s 8s,0.902500,0.861667
2c 2d 2h 2s 5s 7s 9s,0.902500,0.900000
2c 2d 2h 2s 5s 7s 10s,0.892500,0.885000
2c 2d 2h 2s 5s 7s Js,0.922500,0.880000
2c 2d 2h 2s 5s 7s Qs,0.955000,0.915000
2c 2d 2h 2s 5s 7s Ks,0.967500,0.958333
2c 2d 2h 2s 5s 7s As,0.970000,0.976667
2c 2d 2h 2s 5s 8s 9s,0.905000,0.885000
2c 2d 2h 2s 5s 8s 10s,0.925000,0.838333
2c 2d 2h 2s 5s 8s Js,0.912500,0.880000
2c 2d 2h 2s 5s 8s Qs,0.957500,0.915000
2c 2d 2h 2s 5s 8s Ks,0.955000,0.953333
2c 2d 2h 2s 5s 8s As,0.982500,0.971667
2c 2d 2h 2s 5s 9s 10s,0.897500,0.890000
2c 2d 2h 2s 5s 9s Js,0.915000,0.891667
2c 2d 2h 2s 5s 9s Qs,0.932500,0.888333
2c 2d 2h 2s 5s 9s Ks,0.945000,0.951667
2c 2d 2h 2s 5s 9s As,0.970000,0.970000
2c 2d 2h 2s 5s 10s Js,0.950000,0.883333
2c 2d 2h 2s 5s 10s Qs,0.947500,0.928333
2c 2d 2h 2s 5s 10s Ks,0.932500,0.941667
2c 2d 2h 2s 5s 10s As,0.965000,0.961667
2c 2d 2h 2s 5s Js Qs,0.942500,0.930000
2c 2d 2h 2s 5s Js Ks,0.952500,0.955000
2c 2d 2h 2s 5s Js As,0.987500,0.975000
2c 2d 2h 2s 5s Qs Ks,0.965000,0.895000
2c 2d 2h 2s 5s Qs As,0.957500,0.971667
2c 2d 2h 2s 5s Ks As,0.975000,0.988333
2c 2d 2h 2s 6s 7s 8s,0.877500,0.850000
2c 2d 2h 2s 6s 7s 9s,0.870000,0.866667
2c 2d 2h 2s 6s 7s 10s,0.870000,0.890000
2c 2d 2h 2s 6s 7s Js,0.935000,0.886667
2c 2d 2h 2s 6s 7s Qs,0.952500,0.901667
2c 2d 2h 2s 6s 7s Ks,0.920000,0.900000
2c 2d 2h 2s 6s 7s As,0.972500,0.970000
2c 2d 2h 2s 6s 8s 9s,0.895000,0.878333
2c 2d 2h 2s 6s 8s 10s,0.935000,0.865000
2c 2d 2h 2s 6s 8s Js,0.920000,0.898333
2c 2d 2h 2s 6s 8s Qs,0.955000,0.930000
2c 2d 2h 2s 6s 8s Ks,0.952500,0.913333
2c 2d 2h 2s 6s 8s As,0.967500,0.976667
2c 2d 2h 2s 6s 9s 10s,0.895000,0.898333
2c 2d 2h 2s 6s 9s Js,0.937500,0.926667
2c 2d 2h 2s 6s 9s Qs,0.937500,0.908333
2c 2d 2h 2s 6s 9s Ks,0.955000,0.948333
2c 2d 2h 2s 6s 9s As,0.977500,0.963333
2c 2d 2h 2s 6s 10s Js,0.955000,0.878333
2c 2d 2h 2s 6s 10s Qs,0.952500,0.923333
2c 2d 2h 2s 6s 10s Ks,0.912500,0.948333
2c 2d 2h 2s 6s 10s As,0.975000,0.960000
2c 2d 2h 2s 6s Js Qs,0.937500,0.918333
2c 2d 2h 2s 6s Js Ks,0.970000,0.931667
2c 2d 2h 2s 6s Js As,0.965000,0.976667
2c 2d 2h 2s 6s Qs Ks,0.967500,0.943333
2c 2d 2h 2s 6s Qs As,0.977500,0.958333
2c 2d 2h 2s 6s Ks As,0.965000,0.975000
2c 2d 2h 2s 7s 8s 9s,0.885000,0.898333
2c 2d 2h 2s 7s 8s 10s,0.945000,0.898333
2c 2d 2h 2s 7s 8s Js,0.912500,0.865000
2c 2d 2h 2s 7s 8s Qs,0.930000,0.915000
2c 2d 2h 2s 7s 8s Ks,0.950000,0.970000
2c 2d 2h 2s 7s 8s As,0.972500,0.965000
2c 2d 2h 2s 7s 9s 10s,0.862500,0.905000
2c 2d 2h 2s 7s 9s Js,0.920000,0.896667
2c 2d 2h 2s 7s 9s Qs,0.927500,0.913333
2c 2d 2h 2s 7s 9s Ks,0.967500,0.938333
2c 2d 2h 2s 7s 9s As,0.970000,0.973333
2c 2d 2h 2s 7s 10s Js,0.910000,0.923333
2c 2d 2h 2s 7s 10s Qs,0.960000,0.913333
2c 2d 2h 2s 7s 10s Ks,0.940000,0.915000
2c 2d 2h 2s 7s 10s As,0.940000,0.976667
2c 2d 2h 2s 7s Js Qs,0.922500,0.918333
2c 2d 2h 2s 7s Js Ks,0.942500,0.938333
2c 2d 2h 2s 7s Js As,0.972500,0.973333
2c 2d 2h 2s 7s Qs Ks,0.962500,0.936667
2c 2d 2h 2s 7s Qs As,0.977500,0.968333
2c 2d 2h 2s 7s Ks As,0.977500,0.956667
2c 2d 2h 2s 8s 9s 10s,0.900000,0.865000
2c 2d 2h 2s 8s 9s Js,0.902500,0.901667
2c 2d 2h 2s 8s 9s Qs,0.930000,0.903333
2c 2d 2h 2s 8s 9s Ks,0.955000,0.935000
2c 2d 2h 2s 8s 9s As,0.952500,0.961667
2c 2d 2h 2s 8s 10s Js,0.927500,0.890000
2c 2d 2h 2s 8s 10s Qs,0.910000,0.911667
2c 2d 2h 2s 8s 10s Ks,0.955000,0.935000
2c 2d 2h 2s 8s 10s As,0.957500,0.966667
2c 2d 2h 2s 8s Js Qs,0.930000,0.910000
2c 2d 2h 2s 8s Js Ks,0.940000,0.956667
2c 2d 2h 2s 8s Js As,0.980000,0.971667
2c 2d 2h 2s 8s Qs Ks,0.967500,0.921667
2c 2d 2h 2s 8s Qs As,0.977500,0.973333
2c 2d 2h 2s 8s Ks As,0.965000,0.968333
2c 2d 2h 2s 9s 10s Js,0.960000,0.921667
2c 2d 2h 2s 9s 10s Qs,0.947500,0.905000
2c 2d 2h 2s 9s 10s Ks,0.967500,0.928333
2c 2d 2h 2s 9s 10s As,0.975000,0.986667
2c 2d 2h 2s 9s Js Qs,0.922500,0.950000
2c 2d 2h 2s 9s Js Ks,0.937500,0.928333
2c 2d 2h 2s 9s Js As,0.972500,0.978333
2c 2d 2h 2s 9s Qs Ks,0.950000,0.973333
2c 2d 2h 2s 9s Qs As,0.977500,0.958333
2c 2d 2h 2s 9s Ks As,0.975000,0.983333
2c 2d 2h 2s 10s Js Qs,0.942500,0.905000
2c 2d 2h 2s 10s Js Ks,0.950000,0.948333
2c 2d 2h 2s 10s Js As,0.957500,0.965000
